,stopword
0,nosotras
1,un
2,una
3,unas
4,unos
5,uno
6,sobre
7,todo
8,tambien
9,tras
10,otro
11,algun
12,alguno
13,alguna
14,algunos
15,algunas
16,ser
17,es
18,soy
19,eres
20,somos
21,sois
22,estoy
23,esta
24,estamos
25,estais
26,estan
27,como
28,en
29,para
30,atras
31,porque
32,por que
33,estado
34,estaba
35,ante
36,antes
37,siendo
38,ambos
39,pero
40,por
41,poder
42,puede
43,puedo
44,podemos
45,podeis
46,pueden
47,fui
48,fue
49,fuimos
50,fueron
51,hacer
52,hago
53,hace
54,hacemos
55,haceis
56,hacen
57,cada
58,fin
59,incluso
60,primero
61,desde
62,conseguir
63,consigo
64,consigue
65,consigues
66,conseguimos
67,consiguen
68,ir
69,voy
70,va
71,vamos
72,vais
73,van
74,vaya
75,gueno
76,ha
77,tener
78,tengo
79,tiene
80,tenemos
81,teneis
82,tienen
83,el
84,la
85,lo
86,las
87,los
88,su
89,aqui
90,mio
91,tuyo
92,ellos
93,ellas
94,nos
95,nosotros
96,vosotros
97,vosotras
98,si
99,dentro
100,solo
101,solamente
102,saber
103,sabes
104,sabe
105,sabemos
106,sabeis
107,saben
108,ultimo
109,largo
110,bastante
111,haces
112,muchos
113,aquellos
114,aquellas
115,sus
116,entonces
117,tiempo
118,verdad
119,verdadero
120,verdadera
121,cierto
122,ciertos
123,cierta
124,ciertas
125,intentar
126,intento
127,intenta
128,intentas
129,intentamos
130,intentais
131,intentan
132,dos
133,bajo
134,arriba
135,encima
136,usar
137,uso
138,usas
139,usa
140,usamos
141,usais
142,usan
143,emplear
144,empleo
145,empleas
146,emplean
147,ampleamos
148,empleais
149,valor
150,muy
151,era
152,eras
153,eramos
154,eran
155,modo
156,bien
157,cual
158,cuando
159,donde
160,mientras
161,quien
162,con
163,entre
164,sin
165,trabajo
166,trabajar
167,trabajas
168,trabaja
169,trabajamos
170,trabajais
171,trabajan
172,podria
173,podrias
174,podriamos
175,podrian
176,podriais
177,yo
178,aquel
179,que
